defined_class	defined_class_label	muscle	muscle_label
FBbt:00000880	muscle cell of abdominal 6 lateral oblique muscle 1	FBbt:00058686	abdominal 6 lateral oblique muscle 1
FBbt:00000881	abdominal 6 ventral oblique muscle cell	FBbt:00058687	abdominal 6 ventral oblique muscle
FBbt:00000882	muscle cell of abdominal 6 ventral oblique muscle 1	FBbt:00058688	abdominal 6 ventral oblique muscle 1
FBbt:00000883	muscle cell of abdominal 6 ventral oblique muscle 2	FBbt:00058689	abdominal 6 ventral oblique muscle 2
FBbt:00000884	muscle cell of abdominal 6 ventral oblique muscle 3	FBbt:00058690	abdominal 6 ventral oblique muscle 3
FBbt:00000885	muscle cell of abdominal 6 ventral oblique muscle 4	FBbt:00058691	abdominal 6 ventral oblique muscle 4
FBbt:00000886	muscle cell of abdominal 6 ventral oblique muscle 5	FBbt:00058692	abdominal 6 ventral oblique muscle 5
FBbt:00000887	muscle cell of abdominal 6 ventral oblique muscle 6	FBbt:00058693	abdominal 6 ventral oblique muscle 6
FBbt:00000888	abdominal 6 longitudinal muscle cell	FBbt:00058694	abdominal 6 longitudinal muscle
FBbt:00000890	muscle cell of abdominal 6 lateral longitudinal muscle 1	FBbt:00058695	abdominal 6 lateral longitudinal muscle 1
FBbt:00000891	abdominal 6 ventral longitudinal muscle cell	FBbt:00058696	abdominal 6 ventral longitudinal muscle
FBbt:00000892	muscle cell of abdominal 6 ventral longitudinal muscle 1	FBbt:00058697	abdominal 6 ventral longitudinal muscle 1
FBbt:00000893	muscle cell of abdominal 6 ventral longitudinal muscle 2	FBbt:00058698	abdominal 6 ventral longitudinal muscle 2
FBbt:00000894	muscle cell of abdominal 6 ventral longitudinal muscle 3	FBbt:00058699	abdominal 6 ventral longitudinal muscle 3
FBbt:00000895	muscle cell of abdominal 6 ventral longitudinal muscle 4	FBbt:00058700	abdominal 6 ventral longitudinal muscle 4
FBbt:00000896	abdominal 6 segment border muscle cell	FBbt:00058701	abdominal 6 segment border muscle
FBbt:00000897	abdominal 6 transverse muscle cell	FBbt:00058702	abdominal 6 transverse muscle
FBbt:00000899	muscle cell of abdominal 6 dorsal transverse muscle 1	FBbt:00058703	abdominal 6 dorsal transverse muscle 1
FBbt:00000900	abdominal 6 lateral transverse muscle cell	FBbt:00058704	abdominal 6 lateral transverse muscle
FBbt:00000901	muscle cell of abdominal 6 lateral transverse muscle 1	FBbt:00058705	abdominal 6 lateral transverse muscle 1
FBbt:00000902	muscle cell of abdominal 6 lateral transverse muscle 2	FBbt:00058706	abdominal 6 lateral transverse muscle 2
FBbt:00000903	muscle cell of abdominal 6 lateral transverse muscle 3	FBbt:00058707	abdominal 6 lateral transverse muscle 3
FBbt:00000904	muscle cell of abdominal 6 lateral transverse muscle 4	FBbt:00058708	abdominal 6 lateral transverse muscle 4
FBbt:00000906	muscle cell of abdominal 6 ventral transverse muscle 1	FBbt:00058710	abdominal 6 ventral transverse muscle 1
FBbt:00000907	hypodermal muscle cell of larval abdominal 7	FBbt:00058711	hypodermal muscle of larval abdominal 7
FBbt:00000908	abdominal 7 acute muscle cell	FBbt:00058712	abdominal 7 acute muscle
FBbt:00000909	abdominal 7 dorsal acute muscle cell	FBbt:00058713	abdominal 7 dorsal acute muscle
FBbt:00000910	muscle cell of abdominal 7 dorsal acute muscle 1	FBbt:00058714	abdominal 7 dorsal acute muscle 1
FBbt:00000911	muscle cell of abdominal 7 dorsal acute muscle 2	FBbt:00058715	abdominal 7 dorsal acute muscle 2
FBbt:00000912	muscle cell of abdominal 7 dorsal acute muscle 3	FBbt:00058716	abdominal 7 dorsal acute muscle 3
FBbt:00000913	abdominal 7 ventral acute muscle cell	FBbt:00058717	abdominal 7 ventral acute muscle
FBbt:00000914	muscle cell of abdominal 7 ventral acute muscle 1	FBbt:00058718	abdominal 7 ventral acute muscle 1
FBbt:00000915	muscle cell of abdominal 7 ventral acute muscle 2	FBbt:00058719	abdominal 7 ventral acute muscle 2
FBbt:00000916	muscle cell of abdominal 7 ventral acute muscle 3	FBbt:00058720	abdominal 7 ventral acute muscle 3
FBbt:00000917	abdominal 7 oblique muscle cell	FBbt:00058721	abdominal 7 oblique muscle
FBbt:00000918	abdominal 7 dorsal oblique muscle cell	FBbt:00058722	abdominal 7 dorsal oblique muscle
FBbt:00000919	muscle cell of abdominal 7 dorsal oblique muscle 1	FBbt:00058723	abdominal 7 dorsal oblique muscle 1
FBbt:00000920	muscle cell of abdominal 7 dorsal oblique muscle 2	FBbt:00058724	abdominal 7 dorsal oblique muscle 2
FBbt:00000921	muscle cell of abdominal 7 dorsal oblique muscle 3	FBbt:00058725	abdominal 7 dorsal oblique muscle 3
FBbt:00000922	muscle cell of abdominal 7 dorsal oblique muscle 4	FBbt:00058726	abdominal 7 dorsal oblique muscle 4
FBbt:00000923	muscle cell of abdominal 7 dorsal oblique muscle 5	FBbt:00058727	abdominal 7 dorsal oblique muscle 5
FBbt:00000925	muscle cell of abdominal 7 lateral oblique muscle 1	FBbt:00058728	abdominal 7 lateral oblique muscle 1
FBbt:00000926	abdominal 7 ventral oblique muscle cell	FBbt:00058729	abdominal 7 ventral oblique muscle
FBbt:00000927	muscle cell of abdominal 7 ventral oblique muscle 1	FBbt:00058730	abdominal 7 ventral oblique muscle 1
FBbt:00000928	muscle cell of abdominal 7 ventral oblique muscle 2	FBbt:00058731	abdominal 7 ventral oblique muscle 2
FBbt:00000929	muscle cell of abdominal 7 ventral oblique muscle 3	FBbt:00058732	abdominal 7 ventral oblique muscle 3
FBbt:00000930	muscle cell of abdominal 7 ventral oblique muscle 4	FBbt:00058733	abdominal 7 ventral oblique muscle 4
FBbt:00000931	muscle cell of abdominal 7 ventral oblique muscle 5	FBbt:00058734	abdominal 7 ventral oblique muscle 5
FBbt:00000932	muscle cell of abdominal 7 ventral oblique muscle 6	FBbt:00058735	abdominal 7 ventral oblique muscle 6
FBbt:00000933	abdominal 7 longitudinal muscle cell	FBbt:00058736	abdominal 7 longitudinal muscle
FBbt:00000935	muscle cell of abdominal 7 lateral longitudinal muscle 1	FBbt:00058737	abdominal 7 lateral longitudinal muscle 1
FBbt:00000936	abdominal 7 ventral longitudinal muscle cell	FBbt:00058738	abdominal 7 ventral longitudinal muscle
FBbt:00000937	muscle cell of abdominal 7 ventral longitudinal muscle 1	FBbt:00058739	abdominal 7 ventral longitudinal muscle 1
FBbt:00000938	muscle cell of abdominal 7 ventral longitudinal muscle 2	FBbt:00058740	abdominal 7 ventral longitudinal muscle 2
FBbt:00000939	muscle cell of abdominal 7 ventral longitudinal muscle 3	FBbt:00058741	abdominal 7 ventral longitudinal muscle 3
FBbt:00000940	muscle cell of abdominal 7 ventral longitudinal muscle 4	FBbt:00058742	abdominal 7 ventral longitudinal muscle 4
FBbt:00000941	abdominal 7 segment border muscle cell	FBbt:00058743	abdominal 7 segment border muscle
FBbt:00000942	abdominal 7 transverse muscle cell	FBbt:00058744	abdominal 7 transverse muscle
FBbt:00000944	muscle cell of abdominal 7 dorsal transverse muscle 1	FBbt:00058745	abdominal 7 dorsal transverse muscle 1
FBbt:00000945	abdominal 7 lateral transverse muscle cell	FBbt:00058746	abdominal 7 lateral transverse muscle
FBbt:00000946	muscle cell of abdominal 7 lateral transverse muscle 1	FBbt:00058747	abdominal 7 lateral transverse muscle 1
FBbt:00000947	muscle cell of abdominal 7 lateral transverse muscle 2	FBbt:00058748	abdominal 7 lateral transverse muscle 2
FBbt:00000948	muscle cell of abdominal 7 lateral transverse muscle 3	FBbt:00058749	abdominal 7 lateral transverse muscle 3
FBbt:00000949	muscle cell of abdominal 7 lateral transverse muscle 4	FBbt:00058750	abdominal 7 lateral transverse muscle 4
FBbt:00000951	muscle cell of abdominal 7 ventral transverse muscle 1	FBbt:00058752	abdominal 7 ventral transverse muscle 1
FBbt:00000952	hypodermal muscle cell of larval abdominal 8	FBbt:00058753	hypodermal muscle of larval abdominal 8
FBbt:00000953	abdominal 8 oblique muscle cell	FBbt:00058754	abdominal 8 oblique muscle
FBbt:00000955	muscle cell of abdominal 8 dorsal oblique muscle 1	FBbt:00058756	abdominal 8 dorsal oblique muscle 1
FBbt:00000956	abdominal 8 ventral oblique muscle cell	FBbt:00058757	abdominal 8 ventral oblique muscle
FBbt:00000957	muscle cell of abdominal 8 ventral oblique muscle 1	FBbt:00058758	abdominal 8 ventral oblique muscle 1
FBbt:00000958	muscle cell of abdominal 8 ventral oblique muscle 2	FBbt:00058759	abdominal 8 ventral oblique muscle 2
FBbt:00000959	muscle cell of abdominal 8 ventral oblique muscle 3	FBbt:00058760	abdominal 8 ventral oblique muscle 3
FBbt:00000960	abdominal 8 transverse muscle cell	FBbt:00058761	abdominal 8 transverse muscle
FBbt:00000962	muscle cell of abdominal 8 dorsal transverse muscle 1	FBbt:00058762	abdominal 8 dorsal transverse muscle 1
FBbt:00000964	muscle cell of abdominal 8 lateral transverse muscle 1	FBbt:00058764	abdominal 8 lateral transverse muscle 1
FBbt:00000965	abdominal 8 ventral transverse muscle cell	FBbt:00058765	abdominal 8 ventral transverse muscle
FBbt:00000966	muscle cell of abdominal 8 ventral transverse muscle 1	FBbt:00058766	abdominal 8 ventral transverse muscle 1
FBbt:00000967	muscle cell of abdominal 8 ventral transverse muscle 2	FBbt:00058767	abdominal 8 ventral transverse muscle 2
FBbt:00000969	abdominal 8 ventral longitudinal muscle cell	FBbt:00058769	abdominal 8 ventral longitudinal muscle
FBbt:00000970	muscle cell of abdominal 8 ventral longitudinal muscle 1	FBbt:00058770	abdominal 8 ventral longitudinal muscle 1
FBbt:00000971	muscle cell of abdominal 8 ventral longitudinal muscle 2	FBbt:00058771	abdominal 8 ventral longitudinal muscle 2
FBbt:00000972	muscle cell of abdominal 8 ventral longitudinal muscle 3	FBbt:00058772	abdominal 8 ventral longitudinal muscle 3
FBbt:00000973	muscle cell of abdominal 8 ventral longitudinal muscle 4	FBbt:00058773	abdominal 8 ventral longitudinal muscle 4
FBbt:00000974	hypodermal muscle cell of larval abdominal 9	FBbt:00058774	hypodermal muscle of larval abdominal 9
FBbt:00000996	muscle cell of terminal transverse muscle 1	FBbt:00058775	terminal transverse muscle 1
FBbt:00000997	terminal oblique muscle cell	FBbt:00058776	terminal oblique muscle
FBbt:00000998	muscle cell of terminal oblique muscle 1	FBbt:00058777	terminal oblique muscle 1
FBbt:00000999	muscle cell of terminal oblique muscle 2	FBbt:00058778	terminal oblique muscle 2
FBbt:00001000	gut suspension muscle cell	FBbt:00058779	gut suspension muscle
FBbt:00001001	muscle cell of gut suspension muscle 1	FBbt:00058780	gut suspension muscle 1
FBbt:00001002	muscle cell of gut suspension muscle 2	FBbt:00058781	gut suspension muscle 2
FBbt:00001003	muscle cell of gut suspension muscle 3	FBbt:00058782	gut suspension muscle 3
FBbt:00001004	muscle cell of gut suspension muscle 4	FBbt:00058783	gut suspension muscle 4
FBbt:00003259	adult somatic muscle cell	FBbt:00058784	adult somatic muscle
FBbt:00003260	adult somatic muscle cell of head	FBbt:00058785	adult somatic muscle of head
FBbt:00003261	proboscis muscle cell	FBbt:00058786	proboscis muscle
FBbt:00003262	muscle cell of proboscis muscle 1	FBbt:00058787	proboscis muscle 1
FBbt:00003263	muscle cell of proboscis muscle 2 dorsal	FBbt:00058788	proboscis muscle 2 dorsal
FBbt:00003264	muscle cell of proboscis muscle 3	FBbt:00058789	proboscis muscle 3
FBbt:00003265	muscle cell of proboscis muscle 4	FBbt:00058790	proboscis muscle 4
FBbt:00003266	muscle cell of proboscis muscle 5	FBbt:00058791	proboscis muscle 5
FBbt:00003267	haustellum muscle cell	FBbt:00058792	haustellum muscle
FBbt:00003268	muscle cell of proboscis muscle 6	FBbt:00058793	proboscis muscle 6
FBbt:00003269	muscle cell of proboscis muscle 7	FBbt:00058794	proboscis muscle 7
FBbt:00003270	muscle cell of proboscis muscle 8	FBbt:00058795	proboscis muscle 8
FBbt:00003271	cibarial muscle cell	FBbt:00058796	cibarial muscle
FBbt:00003272	muscle cell of proboscis muscle 9	FBbt:00058797	proboscis muscle 9
FBbt:00003273	muscle cell of proboscis muscle 10	FBbt:00058798	proboscis muscle 10
FBbt:00003275	muscle cell of proboscis muscle 11 dorsal	FBbt:00058799	proboscis muscle 11 dorsal
FBbt:00003276	muscle cell of proboscis muscle 12 dorsal	FBbt:00058800	proboscis muscle 12 dorsal
FBbt:00003277	muscle cell of proboscis muscle 13	FBbt:00058801	proboscis muscle 13
FBbt:00003278	second antennal segment muscle cell	FBbt:00058802	second antennal segment muscle
FBbt:00003279	muscle cell of second antennal segment muscle 14	FBbt:00058803	second antennal segment muscle 14
FBbt:00003280	muscle cell of second antennal segment muscle 15	FBbt:00058804	second antennal segment muscle 15
FBbt:00003281	muscle cell of frontal pulsatile organ muscle 16	FBbt:00058805	frontal pulsatile organ muscle 16
FBbt:00003282	somatic muscle cell of dorsal head	FBbt:00058806	somatic muscle of dorsal head
FBbt:00003283	muscle cell of fronto-pharyngeal muscle 17	FBbt:00058807	fronto-pharyngeal muscle 17
FBbt:00003284	muscle cell of ptilino-pharyngeal muscle 18a	FBbt:00058808	ptilino-pharyngeal muscle 18a
FBbt:00003285	muscle cell of transverse-ptilinal muscle 18b	FBbt:00058809	transverse-ptilinal muscle 18b
FBbt:00003286	muscle cell of fronto-tentorial muscle 19a	FBbt:00058810	fronto-tentorial muscle 19a
FBbt:00003287	muscle cell of geno-tentorial muscle 19b	FBbt:00058811	geno-tentorial muscle 19b
FBbt:00003288	transverse vertex muscle cell	FBbt:00058812	transverse vertex muscle
FBbt:00003289	ptilino-tentorial muscle cell	FBbt:00058813	ptilino-tentorial muscle
FBbt:00003290	lunula muscle cell	FBbt:00058814	lunula muscle
FBbt:00003291	ocular-antennal muscle cell	FBbt:00058815	ocular-antennal muscle
FBbt:00003293	somatic muscle cell of neck	FBbt:00058816	somatic muscle of neck
FBbt:00003294	dorsal cervical muscle cell	FBbt:00058817	dorsal cervical muscle
FBbt:00003295	muscle cell of dorsal cervical muscle 20	FBbt:00058818	dorsal cervical muscle 20
FBbt:00003296	muscle cell dorsal cervical muscle 21	FBbt:00058819	dorsal cervical muscle 21
FBbt:00003297	muscle cell of dorsal cervical muscle 22	FBbt:00058820	dorsal cervical muscle 22
FBbt:00003298	muscle cell of dorsal cervical muscle 23	FBbt:00058821	dorsal cervical muscle 23
FBbt:00003299	lateral cervical muscle cell	FBbt:00058822	lateral cervical muscle
FBbt:00003300	muscle cell of lateral cervical muscle 24	FBbt:00058823	lateral cervical muscle 24
FBbt:00003301	ventral cervical muscle cell	FBbt:00058824	ventral cervical muscle
FBbt:00003302	muscle cell of ventral cervical muscle 25	FBbt:00058825	ventral cervical muscle 25
FBbt:00003303	muscle cell of ventral cervical muscle 26	FBbt:00058826	ventral cervical muscle 26
FBbt:00003304	muscle cell of ventral cervical muscle 27	FBbt:00058827	ventral cervical muscle 27
FBbt:00003305	adult somatic muscle cell of thorax	FBbt:00058828	adult somatic muscle of thorax
FBbt:00003306	promotor muscle cell	FBbt:00058829	promotor muscle
FBbt:00003307	tergopleural promotor muscle cell	FBbt:00058830	tergopleural promotor muscle
FBbt:00003308	sternal promotor muscle cell	FBbt:00058831	sternal promotor muscle
FBbt:00003309	pleural promotor muscle cell	FBbt:00058832	pleural promotor muscle
FBbt:00003310	remotor muscle cell	FBbt:00058833	remotor muscle
FBbt:00003311	tergal remotor muscle cell	FBbt:00058834	tergal remotor muscle
FBbt:00003312	sternal remotor muscle cell	FBbt:00058835	sternal remotor muscle
FBbt:00003313	pleural remotor muscle cell	FBbt:00058836	pleural remotor muscle
FBbt:00003314	rotator muscle cell	FBbt:00058837	rotator muscle
FBbt:00003315	anterior rotator muscle cell	FBbt:00058838	anterior rotator muscle
FBbt:00003316	posterior rotator muscle cell	FBbt:00058839	posterior rotator muscle
FBbt:00003317	adductor muscle cell	FBbt:00058840	adductor muscle
FBbt:00003318	somatic muscle cell of leg	FBbt:00058841	somatic muscle of leg
FBbt:00003319	depressor muscle cell	FBbt:00058842	depressor muscle
FBbt:00003320	extracoxal depressor muscle cell	FBbt:00058843	extracoxal depressor muscle
FBbt:00003321	intracoxal depressor muscle cell	FBbt:00058844	intracoxal depressor muscle
FBbt:00003322	tibial depressor muscle cell	FBbt:00058845	tibial depressor muscle
FBbt:00003323	tarsal depressor muscle cell	FBbt:00058846	tarsal depressor muscle
FBbt:00003324	pretarsal depressor muscle cell	FBbt:00058847	pretarsal depressor muscle
FBbt:00003325	levator muscle cell	FBbt:00058848	levator muscle
FBbt:00003326	intracoxal levator muscle cell	FBbt:00058849	intracoxal levator muscle
FBbt:00003327	intracoxal lateral levator muscle cell	FBbt:00058850	intracoxal lateral levator muscle
FBbt:00003328	intracoxal mesal levator muscle cell	FBbt:00058851	intracoxal mesal levator muscle
FBbt:00003329	tibial levator muscle cell	FBbt:00058852	tibial levator muscle
FBbt:00003330	tarsal levator muscle cell	FBbt:00058853	tarsal levator muscle
FBbt:00003331	reductor muscle cell	FBbt:00058854	reductor muscle
FBbt:00003332	femoral reductor muscle cell	FBbt:00058855	femoral reductor muscle
FBbt:00003334	somatic muscle cell of prothorax	FBbt:00058856	somatic muscle of prothorax
FBbt:00003335	prothoracic promotor muscle cell	FBbt:00058857	prothoracic promotor muscle
FBbt:00003336	muscle cell of prothoracic tergopleural promotor muscle 28	FBbt:00058858	prothoracic tergopleural promotor muscle 28
FBbt:00003337	muscle cell of a prothoracic pleural remotor and abductor muscle 29	FBbt:00058859	prothoracic pleural remotor and abductor muscle 29
FBbt:00003338	muscle cell of prothoracic pleural promotor muscle 30	FBbt:00058860	prothoracic pleural promotor muscle 30
FBbt:00003339	prothoracic sternal muscle cell	FBbt:00058861	prothoracic sternal muscle
FBbt:00003340	muscle cell of prothoracic sternal anterior rotator muscle 31	FBbt:00058862	prothoracic sternal anterior rotator muscle 31
FBbt:00003341	muscle cell of prothoracic sternal posterior rotator muscle 32	FBbt:00058863	prothoracic sternal posterior rotator muscle 32
FBbt:00003342	muscle cell of prothoracic sternal adductor muscle 33	FBbt:00058864	prothoracic sternal adductor muscle 33
FBbt:00003343	somatic muscle cell of prothoracic leg	FBbt:00058865	somatic muscle of prothoracic leg
FBbt:00003344	prothoracic depressor muscle cell	FBbt:00058866	prothoracic depressor muscle
FBbt:00003345	muscle cell of prothoracic extracoxal depressor muscle 34	FBbt:00058867	prothoracic extracoxal depressor muscle 34
FBbt:00003346	muscle cell of prothoracic intracoxal depressor muscle 35	FBbt:00058868	prothoracic intracoxal depressor muscle 35
FBbt:00003347	prothoracic tibial depressor muscle cell	FBbt:00058869	prothoracic tibial depressor muscle
FBbt:00003348	muscle cell of prothoracic tibial depressor muscle 40	FBbt:00058870	prothoracic tibial depressor muscle 40
FBbt:00003349	prothoracic tibial reductor muscle cell	FBbt:00058871	prothoracic tibial reductor muscle
FBbt:00003350	muscle cell of prothoracic tarsal depressor muscle 43	FBbt:00058872	prothoracic tarsal depressor muscle 43
FBbt:00003352	prothoracic levator muscle cell	FBbt:00058873	prothoracic levator muscle
FBbt:00003353	muscle cell of prothoracic intracoxal lateral levator muscle 36	FBbt:00058874	prothoracic intracoxal lateral levator muscle 36
FBbt:00003354	muscle cell of prothoracic intracoxal mesal levator muscle 37	FBbt:00058875	prothoracic intracoxal mesal levator muscle 37
FBbt:00003355	muscle cell of prothoracic tibial levator muscle 39	FBbt:00058876	prothoracic tibial levator muscle 39
FBbt:00003356	muscle cell of prothoracic tarsal levator muscle 42	FBbt:00058877	prothoracic tarsal levator muscle 42
FBbt:00003357	prothoracic reductor muscle cell	FBbt:00058878	prothoracic reductor muscle
FBbt:00003358	muscle cell of prothoracic femoral reductor muscle 38	FBbt:00058879	prothoracic femoral reductor muscle 38
FBbt:00003359	somatic muscle cell of mesothorax	FBbt:00058880	somatic muscle of mesothorax
FBbt:00003360	flight muscle cell	FBbt:00058881	flight muscle
FBbt:00003361	indirect flight muscle cell	FBbt:00058882	indirect flight muscle
FBbt:00003362	dorsal longitudinal indirect flight muscle cell	FBbt:00058883	dorsal longitudinal indirect flight muscle
FBbt:00003363	muscle cell of dorsal longitudinal indirect flight muscle 45a	FBbt:00058884	dorsal longitudinal indirect flight muscle 45a
FBbt:00003364	muscle cell of dorsal longitudinal indirect flight muscle 45b	FBbt:00058885	dorsal longitudinal indirect flight muscle 45b
FBbt:00003365	muscle cell of dorsal longitudinal indirect flight muscle 45c	FBbt:00058886	dorsal longitudinal indirect flight muscle 45c
