Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.	
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	a core relation that holds between a whole and its part@en	
WARN	duplicate_definition	FBbt:00002668	IAO:0000115	Unidendritic sensillum of the anteroventral group of the larval pharynx located in a pit lateral to V1. It has a tuft of hair at its distal tip and its dendrite has a tubular body.	
WARN	duplicate_definition	FBbt:00002669	IAO:0000115	Unidendritic sensillum of the anteroventral group of the larval pharynx located in a pit lateral to V1. It has a tuft of hair at its distal tip and its dendrite has a tubular body.	
WARN	duplicate_definition	FBbt:00003896	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003897	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003898	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003899	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003900	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003901	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003902	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003903	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003904	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00003905	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
WARN	duplicate_definition	FBbt:00048102	IAO:0000115	TN1 neuron that projects mostly anteriorly into the dorsal prothoracic neuromere with a branch also projecting posteriorly into the dorsal mesothoracic neuromere (Shirangi et al., 2016).	
WARN	duplicate_definition	FBbt:00048103	IAO:0000115	TN1 neuron that projects mostly anteriorly into the dorsal prothoracic neuromere with a branch also projecting posteriorly into the dorsal mesothoracic neuromere (Shirangi et al., 2016).	
WARN	duplicate_definition	FBbt:00110236	IAO:0000115	Third-most dorsal of the dorsal oblique muscles.	
WARN	duplicate_definition	FBbt:00110249	IAO:0000115	Third-most dorsal of the dorsal oblique muscles.	
WARN	duplicate_definition	FBbt:00002736	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval prothoracic segment.	
WARN	duplicate_definition	FBbt:00002737	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval prothoracic segment.	
WARN	duplicate_definition	FBbt:00002773	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval metathoracic segment.	
WARN	duplicate_definition	FBbt:00002774	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval metathoracic segment.	
WARN	duplicate_definition	FBbt:00002755	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval mesothoracic segment.	
WARN	duplicate_definition	FBbt:00002756	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval mesothoracic segment.	
WARN	duplicate_definition	FBbt:00007599	IAO:0000115	The continuation of the neurite bundle and associated glia of the segmental nerve, inside the ventral nerve cord.	
WARN	duplicate_definition	FBbt:00110212	IAO:0000115	The continuation of the neurite bundle and associated glia of the segmental nerve, inside the ventral nerve cord.	
WARN	duplicate_definition	FBbt:00004668	IAO:0000115	Tarsal segment of the adult prothoracic leg.	
WARN	duplicate_definition	FBbt:00004690	IAO:0000115	Tarsal segment of the adult prothoracic leg.	
WARN	duplicate_definition	FBbt:00002614	IAO:0000115	Sensory neuron whose long dendrite innervates spiracular sensillum trichodeum 3 (spiracular hair 3).	
WARN	duplicate_definition	FBbt:00002615	IAO:0000115	Sensory neuron whose long dendrite innervates spiracular sensillum trichodeum 3 (spiracular hair 3).	
WARN	duplicate_definition	FBbt:00002012	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002013	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002014	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a lateral external sense (les) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00001999	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002000	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002001	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002002	IAO:0000115	Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo/larva.	
WARN	duplicate_definition	FBbt:00002321	IAO:0000115	Sensory neuron associated either with abdominal dorsal sensillum trichodeum dh1 or with abdominal dorsal sensillum trichodeum dh2. Fasciculates with the intersegmental nerve (Campos-Ortega and Hartenstein, 1997).	
WARN	duplicate_definition	FBbt:00002329	IAO:0000115	Sensory neuron associated either with abdominal dorsal sensillum trichodeum dh1 or with abdominal dorsal sensillum trichodeum dh2. Fasciculates with the intersegmental nerve (Campos-Ortega and Hartenstein, 1997).	
WARN	duplicate_definition	FBbt:00002672	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by a single dendrite.	
WARN	duplicate_definition	FBbt:00002675	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by a single dendrite.	
WARN	duplicate_definition	FBbt:00002676	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by a single dendrite.	
WARN	duplicate_definition	FBbt:00002671	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by 2 dendrites.	
WARN	duplicate_definition	FBbt:00002673	IAO:0000115	Sensillum of the dorsal group of the larval pharynx, innervated by 2 dendrites.	
