np_type	FBbt_id	FBbt_name	pub	comment	specificity	notes	notes_2
AVLP091	FBbt:20000200	adult anterior ventrolateral protocerebrum neuron 091					
AVLP092	FBbt:20000201	adult anterior ventrolateral protocerebrum neuron 092					
AVLP093	FBbt:20000202	adult anterior ventrolateral protocerebrum neuron 093					
AVLP094	FBbt:20000203	adult anterior ventrolateral protocerebrum neuron 094					
AVLP095	FBbt:20000204	adult anterior ventrolateral protocerebrum neuron 095					
AVLP096	FBbt:20000205	adult anterior ventrolateral protocerebrum neuron 096					
AVLP097	FBbt:20000206	adult anterior ventrolateral protocerebrum neuron 097					
AVLP098	FBbt:20000207	adult anterior ventrolateral protocerebrum neuron 098					
AVLP099	FBbt:20000208	adult anterior ventrolateral protocerebrum neuron 099					
AVLP100	FBbt:20000209	adult anterior ventrolateral protocerebrum neuron 100					
AVLP101	FBbt:20000210	adult anterior ventrolateral protocerebrum neuron 101					
AVLP102	FBbt:20000211	adult anterior ventrolateral protocerebrum neuron 102					
AVLP103	FBbt:20000212	adult anterior ventrolateral protocerebrum neuron 103					
AVLP104	FBbt:20000213	adult anterior ventrolateral protocerebrum neuron 104					
AVLP105	FBbt:20000214	adult anterior ventrolateral protocerebrum neuron 105					
AVLP106	FBbt:20000215	adult anterior ventrolateral protocerebrum neuron 106					
AVLP107	FBbt:20000216	adult anterior ventrolateral protocerebrum neuron 107					
AVLP108	FBbt:20000217	adult anterior ventrolateral protocerebrum neuron 108					
AVLP109	FBbt:20000218	adult anterior ventrolateral protocerebrum neuron 109					
AVLP110	FBbt:20000219	adult anterior ventrolateral protocerebrum neuron 110					
AVLP111	FBbt:20000220	adult anterior ventrolateral protocerebrum neuron 111					
AVLP112	FBbt:20000221	adult anterior ventrolateral protocerebrum neuron 112					
AVLP113	FBbt:20000222	adult anterior ventrolateral protocerebrum neuron 113					
AVLP114	FBbt:20000223	adult anterior ventrolateral protocerebrum neuron 114					
AVLP115	FBbt:20000224	adult anterior ventrolateral protocerebrum neuron 115					
AVLP116	FBbt:20000225	adult anterior ventrolateral protocerebrum neuron 116					
AVLP117	FBbt:20000226	adult anterior ventrolateral protocerebrum neuron 117					
AVLP118	FBbt:20000227	adult anterior ventrolateral protocerebrum neuron 118					
AVLP119	FBbt:20000228	adult anterior ventrolateral protocerebrum neuron 119					
AVLP120	FBbt:20000229	adult anterior ventrolateral protocerebrum neuron 120					
AVLP121	FBbt:20000230	adult anterior ventrolateral protocerebrum neuron 121					
AVLP122	FBbt:20000231	adult anterior ventrolateral protocerebrum neuron 122					
AVLP123	FBbt:20000232	adult anterior ventrolateral protocerebrum neuron 123					
AVLP124	FBbt:20000233	adult anterior ventrolateral protocerebrum neuron 124					
AVLP125	FBbt:20000234	adult anterior ventrolateral protocerebrum neuron 125					
AVLP126	FBbt:20000235	adult anterior ventrolateral protocerebrum neuron 126					
AVLP127	FBbt:20000236	adult anterior ventrolateral protocerebrum neuron 127					
AVLP128	FBbt:20000237	adult anterior ventrolateral protocerebrum neuron 128					
AVLP129	FBbt:20000238	adult anterior ventrolateral protocerebrum neuron 129					
AVLP130	FBbt:20000239	adult anterior ventrolateral protocerebrum neuron 130					
AVLP131	FBbt:20000240	adult anterior ventrolateral protocerebrum neuron 131					
AVLP132	FBbt:20000241	adult anterior ventrolateral protocerebrum neuron 132					
AVLP133	FBbt:20000242	adult anterior ventrolateral protocerebrum neuron 133					
AVLP134	FBbt:20000243	adult anterior ventrolateral protocerebrum neuron 134					
AVLP135	FBbt:20000244	adult anterior ventrolateral protocerebrum neuron 135					
AVLP136	FBbt:20000245	adult anterior ventrolateral protocerebrum neuron 136					
AVLP137	FBbt:20000246	adult anterior ventrolateral protocerebrum neuron 137					
AVLP138	FBbt:20000247	adult anterior ventrolateral protocerebrum neuron 138					
AVLP139	FBbt:20000248	adult anterior ventrolateral protocerebrum neuron 139					
AVLP140	FBbt:20000249	adult anterior ventrolateral protocerebrum neuron 140					
AVLP141	FBbt:20000250	adult anterior ventrolateral protocerebrum neuron 141					
AVLP142	FBbt:20000251	adult anterior ventrolateral protocerebrum neuron 142					
AVLP143	FBbt:20000252	adult anterior ventrolateral protocerebrum neuron 143					
AVLP144	FBbt:20000253	adult anterior ventrolateral protocerebrum neuron 144					
AVLP145	FBbt:20000254	adult anterior ventrolateral protocerebrum neuron 145					
AVLP146	FBbt:20000255	adult anterior ventrolateral protocerebrum neuron 146					
AVLP147	FBbt:20000256	adult anterior ventrolateral protocerebrum neuron 147					
AVLP148	FBbt:20000257	adult anterior ventrolateral protocerebrum neuron 148					
AVLP149	FBbt:20000258	adult anterior ventrolateral protocerebrum neuron 149					
AVLP150	FBbt:20000259	adult anterior ventrolateral protocerebrum neuron 150					
AVLP151	FBbt:20000260	adult anterior ventrolateral protocerebrum neuron 151					
AVLP152	FBbt:20000261	adult anterior ventrolateral protocerebrum neuron 152					
AVLP153	FBbt:20000262	adult anterior ventrolateral protocerebrum neuron 153					
AVLP154	FBbt:20000263	adult anterior ventrolateral protocerebrum neuron 154					
AVLP155	FBbt:20000264	adult anterior ventrolateral protocerebrum neuron 155					
AVLP156	FBbt:20000265	adult anterior ventrolateral protocerebrum neuron 156					
AVLP157	FBbt:20000266	adult anterior ventrolateral protocerebrum neuron 157					
AVLP158	FBbt:20000267	adult anterior ventrolateral protocerebrum neuron 158					
AVLP159	FBbt:20000268	adult anterior ventrolateral protocerebrum neuron 159					
AVLP160	FBbt:20000269	adult anterior ventrolateral protocerebrum neuron 160					
AVLP161	FBbt:20000270	adult anterior ventrolateral protocerebrum neuron 161					
AVLP162	FBbt:20000271	adult anterior ventrolateral protocerebrum neuron 162					
AVLP163	FBbt:20000272	adult anterior ventrolateral protocerebrum neuron 163					
AVLP164	FBbt:20000273	adult anterior ventrolateral protocerebrum neuron 164					
AVLP165	FBbt:20000274	adult anterior ventrolateral protocerebrum neuron 165					
AVLP166	FBbt:20000275	adult anterior ventrolateral protocerebrum neuron 166					
AVLP167_a	FBbt:20000276	adult anterior ventrolateral protocerebrum neuron 167					
AVLP167_b	FBbt:20000276	adult anterior ventrolateral protocerebrum neuron 167					
AVLP168	FBbt:20000277	adult anterior ventrolateral protocerebrum neuron 168					
AVLP169	FBbt:20000278	adult anterior ventrolateral protocerebrum neuron 169					
AVLP170	FBbt:20000279	adult anterior ventrolateral protocerebrum neuron 170					
AVLP171	FBbt:20000280	adult anterior ventrolateral protocerebrum neuron 171					
AVLP172	FBbt:20000281	adult anterior ventrolateral protocerebrum neuron 172					
AVLP173	FBbt:20000282	adult anterior ventrolateral protocerebrum neuron 173					
AVLP174	FBbt:20000283	adult anterior ventrolateral protocerebrum neuron 174					
AVLP175	FBbt:20000284	adult anterior ventrolateral protocerebrum neuron 175					
AVLP176_a	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176					
AVLP176_b	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176					
AVLP176_c	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176					
AVLP176_d	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176					
AVLP177_a	FBbt:20000286	adult anterior ventrolateral protocerebrum neuron 177					
AVLP177_b	FBbt:20000286	adult anterior ventrolateral protocerebrum neuron 177					
AVLP178	FBbt:20000287	adult anterior ventrolateral protocerebrum neuron 178					
AVLP179	FBbt:20000288	adult anterior ventrolateral protocerebrum neuron 179					
AVLP180	FBbt:20000289	adult anterior ventrolateral protocerebrum neuron 180					
AVLP181	FBbt:20000290	adult anterior ventrolateral protocerebrum neuron 181					
AVLP182	FBbt:20000291	adult anterior ventrolateral protocerebrum neuron 182					
AVLP183	FBbt:20000292	adult anterior ventrolateral protocerebrum neuron 183					
AVLP184	FBbt:20000293	adult anterior ventrolateral protocerebrum neuron 184					
AVLP185	FBbt:20000294	adult anterior ventrolateral protocerebrum neuron 185					
AVLP186	FBbt:20000295	adult anterior ventrolateral protocerebrum neuron 186					
AVLP187	FBbt:20000296	adult anterior ventrolateral protocerebrum neuron 187					
AVLP188	FBbt:20000297	adult anterior ventrolateral protocerebrum neuron 188					
AVLP189_a	FBbt:20000298	adult anterior ventrolateral protocerebrum neuron 189					
AVLP189_b	FBbt:20000298	adult anterior ventrolateral protocerebrum neuron 189					
AVLP190	FBbt:20000299	adult anterior ventrolateral protocerebrum neuron 190					
AVLP191	FBbt:20000300	adult anterior ventrolateral protocerebrum neuron 191					
AVLP192	FBbt:20000301	adult anterior ventrolateral protocerebrum neuron 192					
AVLP193	FBbt:20000302	adult anterior ventrolateral protocerebrum neuron 193					
AVLP194_a	FBbt:20000303	adult anterior ventrolateral protocerebrum neuron 194					
AVLP194_b	FBbt:20000303	adult anterior ventrolateral protocerebrum neuron 194					
AVLP194_c	FBbt:20000303	adult anterior ventrolateral protocerebrum neuron 194					
AVLP195	FBbt:20000304	adult anterior ventrolateral protocerebrum neuron 195					
AVLP196	FBbt:20000305	adult anterior ventrolateral protocerebrum neuron 196					
AVLP197	FBbt:20000306	adult anterior ventrolateral protocerebrum neuron 197					
AVLP198	FBbt:20000307	adult anterior ventrolateral protocerebrum neuron 198					
AVLP199	FBbt:20000308	adult anterior ventrolateral protocerebrum neuron 199					
AVLP200	FBbt:20000309	adult anterior ventrolateral protocerebrum neuron 200					
AVLP201	FBbt:20000310	adult anterior ventrolateral protocerebrum neuron 201					
AVLP202	FBbt:20000311	adult anterior ventrolateral protocerebrum neuron 202					
AVLP203	FBbt:20000312	adult anterior ventrolateral protocerebrum neuron 203					
AVLP204	FBbt:20000313	adult anterior ventrolateral protocerebrum neuron 204					
AVLP205	FBbt:20000314	adult anterior ventrolateral protocerebrum neuron 205					
AVLP206_a	FBbt:20000315	adult anterior ventrolateral protocerebrum neuron 206					
AVLP206_b	FBbt:20000315	adult anterior ventrolateral protocerebrum neuron 206					
AVLP207	FBbt:20000316	adult anterior ventrolateral protocerebrum neuron 207					
AVLP208	FBbt:20000317	adult anterior ventrolateral protocerebrum neuron 208					
AVLP209	FBbt:20000318	adult anterior ventrolateral protocerebrum neuron 209					
AVLP210	FBbt:20000319	adult anterior ventrolateral protocerebrum neuron 210					
AVLP211	FBbt:20000320	adult anterior ventrolateral protocerebrum neuron 211					
AVLP212	FBbt:20000321	adult anterior ventrolateral protocerebrum neuron 212					
AVLP213	FBbt:20000322	adult anterior ventrolateral protocerebrum neuron 213					
AVLP214	FBbt:20000323	adult anterior ventrolateral protocerebrum neuron 214					
AVLP215	FBbt:20000324	adult anterior ventrolateral protocerebrum neuron 215					
AVLP216	FBbt:20000325	adult anterior ventrolateral protocerebrum neuron 216					
AVLP217	FBbt:20000326	adult anterior ventrolateral protocerebrum neuron 217					
AVLP218	FBbt:20000327	adult anterior ventrolateral protocerebrum neuron 218					
